Feature ID,Feature Name,Description,User Role,Priority,Story Points,Status,Sprint,Release
FEAT-01,User Authentication (Login),Secure login via Firebase Authentication using email and password.,All Users,High,3,Done,Sprint 1,Release 1
FEAT-02,User Registration,Register new users and assign role (Student/Teacher).,All Users,High,5,Done,Sprint 1,Release 1
FEAT-03,Password Recovery,Forgot password functionality sending reset link to email.,All Users,Medium,3,Done,Sprint 1,Release 1
FEAT-04,Profile Management,Update personal information and upload profile picture via Cloudinary.,All Users,Medium,3,Done,Sprint 1,Release 1
FEAT-05,Course Creation,"Create new courses with titles, descriptions and materials.",Teacher,High,8,Done,Sprint 2,Release 1
FEAT-06,View Enrolled Courses (My Classes),Dashboard view showing all classes a student is enrolled in.,Student,High,5,Done,Sprint 2,Release 1
FEAT-07,Teaching Schedule,View organized classes by semester and time.,Teacher,Medium,5,Done,Sprint 2,Release 1
FEAT-08,Course Details,View detailed course information including syllabus and participant lists.,Student/Teacher,High,5,Done,Sprint 2,Release 1
FEAT-09,Exam Creation,Create exams setting constraints (time limits) and adding questions manually or via Excel.,Teacher,High,8,Done,Sprint 3,Release 1
FEAT-10,Edit Exam,Modify existing exams before they are published.,Teacher,Medium,5,Done,Sprint 3,Release 1
FEAT-11,Take Exam,Access and complete exams within the allocated time limit with auto-save.,Student,High,13,Done,Sprint 3,Release 1
FEAT-12,Exam Reports (Individual),"Generate reports detailing student scores, correct answers and feedback.",Student/Teacher,Medium,5,Done,Sprint 4,Release 1
FEAT-13,Teacher Dashboard Analytics,Display aggregated statistics for courses such as average scores and completion rates.,Teacher,Low,8,Done,Sprint 4,Release 1
FEAT-14,Semester Settings,"Define, open and close academic semesters.",Admin,Low,5,Done,Sprint 5,Release 1
FEAT-15,Admin Dashboard,Centralized view to monitor system activity and manage user roles.,Admin,Low,8,Done,Sprint 5,Release 1
FEAT-16,Notifications System,"In-app alerts for new exams, grades or system announcements.",All Users,Medium,5,Done,Sprint 4,Release 1
